9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
9,-10,-53
10,-10,-53
10,-10,-53
11,-9,-53
12,-9,-53
12,-8,-53
14,-8,-53
15,-7,-53
16,-7,-53
17,-5,-53
18,-5,-53
20,-3,-53
22,-2,-53
23,-1,-54
25,0,-54
26,2,-54
27,3,-54
28,6,-54
29,8,-54
30,9,-54
31,12,-54
31,15,-55
32,16,-55
32,20,-55
32,21,-55
32,24,-56
32,28,-56
32,29,-56
31,33,-56
29,36,-56
28,37,-56
27,41,-57
24,44,-57
23,45,-57
20,49,-57
15,52,-58
13,54,-58
8,56,-58
5,57,-58
0,59,-58
-6,59,-58
-9,59,-58
-15,58,-59
-21,56,-58
-24,55,-58
-29,52,-58
-33,48,-58
-35,47,-58
-38,42,-57
-39,38,-57
-41,35,-57
-43,30,-57
-43,27,-57
-43,21,-56
-41,15,-56
-40,12,-56
-38,6,-55
-34,1,-55
-32,0,-54
-28,-4,-54
-24,-7,-54
-21,-8,-54
-17,-10,-54
-14,-11,-53
-11,-12,-53
-7,-12,-53
-5,-12,-53
-3,-13,-53
0,-12,-53
0,-12,-53
2,-12,-53
4,-11,-53
5,-11,-53
6,-11,-53
7,-10,-53
8,-10,-53
9,-10,-53
9,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-9,-53
10,-9,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-9,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-9,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-10,-53
10,-9,-53
10,-10,-53
